ID,DESCRIPTION,IGNORED,CATEGORY,TABLE,COLUMN,LEVEL
1153,Squamish,TRUE,,,,4
1154,Straits,TRUE,,,,4
1155,Syilx (Okanagan),TRUE,,,,4
1156,"Salish languages, n.i.e.",TRUE,,,,4
1157,Siouan languages,TRUE,,,,3
1158,Assiniboine,TRUE,,,,4
1159,Dakota,TRUE,,,,4
1160,Stoney,TRUE,,,,4
1161,"Siouan languages, n.i.e.",TRUE,,,,4
1162,Tsimshian languages,TRUE,,,,3
1163,Gitxsan (Gitksan),TRUE,,,,4
1164,Nisga'a,TRUE,,,,4
1165,Tsimshian,TRUE,,,,4
1166,Wakashan languages,TRUE,,,,3
1167,Haisla,TRUE,,,,4
1168,Heiltsuk,TRUE,,,,4
1169,Kwak'wala (Kwakiutl),TRUE,,,,4
1170,Nuu-chah-nulth (Nootka),TRUE,,,,4
1171,"Wakashan languages, n.i.e.",TRUE,,,,4
1172,"Indigenous languages, n.i.e.",TRUE,,,,3
1173,"Indigenous languages, n.o.s.",TRUE,,,,3
1174,Non-Indigenous languages,TRUE,,,,2
1175,Afro-Asiatic languages,TRUE,,,,3
1176,Berber languages,TRUE,,,,4
1177,Kabyle,TRUE,,,,5
1178,Tamazight,TRUE,,,,5
1179,"Berber languages, n.i.e.",TRUE,,,,5
1180,Chadic languages,TRUE,,,,4
1181,Hausa,TRUE,,,,5
1182,Mina,TRUE,,,,5
1183,Coptic,TRUE,,,,4
1184,Cushitic languages,TRUE,,,,4
1185,Bilen,TRUE,,,,5
1186,Oromo,TRUE,,,,5
1187,Somali,TRUE,,,,5
1188,"Cushitic languages, n.i.e.",TRUE,,,,5
1189,Semitic languages,TRUE,,,,4
1190,Amharic,TRUE,,,,5
1191,Arabic,TRUE,,,,5
1192,Aramaic languages,TRUE,,,,5
1193,Assyrian Neo-Aramaic,TRUE,,,,6
1194,Chaldean Neo-Aramaic,TRUE,,,,6
1195,"Aramaic, n.o.s.",TRUE,,,,6
1196,Harari,TRUE,,,,5
1197,Hebrew,TRUE,,,,5
1198,Maltese,TRUE,,,,5
1199,Tigrigna,TRUE,,,,5
1200,"Semitic languages, n.i.e.",TRUE,,,,5
1201,Austro-Asiatic languages,TRUE,,,,3
1202,Khmer (Cambodian),TRUE,,,,4
1203,Vietnamese,TRUE,,,,4
1204,"Austro-Asiatic languages, n.i.e",TRUE,,,,4
1205,Austronesian languages,TRUE,,,,3
1206,Bikol,TRUE,,,,4
1207,"Bisaya, n.o.s.",TRUE,,,,4
1208,Cebuano,TRUE,,,,4
1209,Fijian,TRUE,,,,4
1210,Hiligaynon,TRUE,,,,4
1211,Ilocano,TRUE,,,,4
1212,Indonesian,TRUE,,,,4
1213,Kankanaey,TRUE,,,,4
1214,Kinaray-a,TRUE,,,,4
1215,Malagasy languages,TRUE,,,,4
1216,Merina,TRUE,,,,5
1217,"Malagasy, n.o.s.",TRUE,,,,5
1218,Malay,TRUE,,,,4
1219,"Pampangan (Kapampangan, Pampango)",TRUE,,,,4
1220,Pangasinan,TRUE,,,,4
1221,"Tagalog (Pilipino, Filipino)",TRUE,,,,4
1222,Waray-Waray,TRUE,,,,4
1223,"Austronesian languages, n.i.e.",TRUE,,,,4
1224,Creole languages,TRUE,,,,3
1225,Haitian Creole,TRUE,,,,4
1226,Jamaican English Creole,TRUE,,,,4
1227,Krio,TRUE,,,,4
1228,Morisyen,TRUE,,,,4
1229,Sango,TRUE,,,,4
1230,"Creole, n.o.s.",TRUE,,,,4
1231,"Creole languages, n.i.e.",TRUE,,,,4
1232,Dravidian languages,TRUE,,,,3
1233,Kannada,TRUE,,,,4
1234,Malayalam,TRUE,,,,4
1235,Tamil,TRUE,,,,4
1236,Telugu,TRUE,,,,4
1237,Tulu,TRUE,,,,4
1238,"Dravidian languages, n.i.e.",TRUE,,,,4
1239,Georgian,TRUE,,,,3
1240,Hmong-Mien languages,TRUE,,,,3
1241,Indo-European languages,TRUE,,,,3
1242,Albanian,TRUE,,,,4
1243,Armenian,TRUE,,,,4
1244,Balto-Slavic languages,TRUE,,,,4
1245,Baltic languages,TRUE,,,,4
1246,Latvian,TRUE,,,,6
1247,Lithuanian,TRUE,,,,6
1248,Slavic languages,TRUE,,,,5
1249,Belarusian,TRUE,,,,6
1250,Bulgarian,TRUE,,,,6
1251,Czech,TRUE,,,,6
1252,Macedonian,TRUE,,,,6
1253,Polish,TRUE,,,,6
1254,Russian,TRUE,,,,6
1255,Rusyn,TRUE,,,,6
1256,Serbo-Croatian,TRUE,,,,6
1257,Bosnian,TRUE,,,,7
1258,Croatian,TRUE,,,,7
1259,Serbian,TRUE,,,,7
1260,"Serbo-Croatian, n.i.e.",TRUE,,,,7
1261,Slovak,TRUE,,,,6
1262,Slovene (Slovenian),TRUE,,,,6
1263,Ukrainian,TRUE,,,,6
1264,"Slavic languages, n.i.e.",TRUE,,,,6
1265,Celtic languages,TRUE,,,,4
1266,Irish,TRUE,,,,5
1267,Scottish Gaelic,TRUE,,,,5
1268,Welsh,TRUE,,,,5
1269,"Celtic languages, n.i.e.",TRUE,,,,5
1270,Germanic languages,TRUE,,,,4
1271,Frisian,TRUE,,,,5
1272,High German languages,TRUE,,,,5
1273,German,TRUE,,,,6
1274,Pennsylvania German,TRUE,,,,6
1275,Swiss German,TRUE,,,,6
1276,Yiddish,TRUE,,,,6
1277,Low Saxon-Low Franconian languages,TRUE,,,,5
1278,Afrikaans,TRUE,,,,6
1279,Dutch,TRUE,,,,6
1280,"Low German, n.o.s.",TRUE,,,,6
1281,Low Saxon,TRUE,,,,6
1282,Plautdietsch,TRUE,,,,6
1283,Vlaams (Flemish),TRUE,,,,6
1284,Scandinavian languages,TRUE,,,,5
1285,Danish,TRUE,,,,6
1286,Icelandic,TRUE,,,,6
1287,Norwegian,TRUE,,,,6
1288,Swedish,TRUE,,,,6
1289,"Germanic languages, n.i.e.",TRUE,,,,5
1290,Greek,TRUE,,,,4
1291,Indo-Iranian languages,TRUE,,,,4
1292,Indo-Aryan languages,TRUE,,,,5
1293,Assamese,TRUE,,,,6
1294,Bengali,TRUE,,,,6
1295,Gujarati,TRUE,,,,6
1296,Hindi,TRUE,,,,6
1297,Kacchi,TRUE,,,,6
1298,Kashmiri,TRUE,,,,6
1299,Konkani,TRUE,,,,6
1300,Marathi,TRUE,,,,6
1301,Nepali,TRUE,,,,6
1302,Oriya languages,TRUE,,,,6
1303,Odia,TRUE,,,,7
1304,"Oriya, n.o.s.",TRUE,,,,7
1305,Punjabi (Panjabi),TRUE,,,,6
1306,Rohingya,TRUE,,,,6
1307,Sindhi,TRUE,,,,6
1308,Sinhala (Sinhalese),TRUE,,,,6
1309,Urdu,TRUE,,,,6
1310,"Indo-Aryan languages, n.i.e.",TRUE,,,,6
1311,Iranian languages,TRUE,,,,5
1312,Baluchi,TRUE,,,,6
1313,Kurdish,TRUE,,,,6
1314,Parsi,TRUE,,,,6
1315,Pashto,TRUE,,,,6
1316,Persian languages,TRUE,,,,6
1317,Dari,TRUE,,,,7
1318,Iranian Persian,TRUE,,,,7
1319,"Persian (Farsi), n.o.s.",TRUE,,,,7
1320,"Iranian languages, n.i.e.",TRUE,,,,6
1321,"Indo-Iranian languages, n.i.e.",TRUE,,,,5
1322,Italic (Romance) languages,TRUE,,,,4
1323,Catalan,TRUE,,,,5
1324,Italian,TRUE,,,,5
1325,Portuguese,TRUE,,,,5
1326,Romanian,TRUE,,,,5
1327,Spanish,TRUE,,,,5
1328,"Italic (Romance) languages, n.i.e.",TRUE,,,,5
1329,"Indo-European languages, n.i.e.",TRUE,,,,4
1330,Japanese,TRUE,,,,3
1331,Korean,TRUE,,,,3
1332,Mongolian,TRUE,,,,3
1333,Niger-Congo languages,TRUE,,,,3
1334,Akan (Twi),TRUE,,,,4
1335,Bamanankan,TRUE,,,,4
1336,Edo,TRUE,,,,4
1337,Éwé,TRUE,,,,4
1338,"Fulah (Pular, Pulaar, Fulfulde)",TRUE,,,,4
1339,Ga,TRUE,,,,4
1340,Ganda,TRUE,,,,4
1341,Gikuyu,TRUE,,,,4
1342,Igbo,TRUE,,,,4
1343,Kinyarwanda (Rwanda),TRUE,,,,4
1344,Lingala,TRUE,,,,4
1345,Luba-Kasai,TRUE,,,,4
1346,Mòoré,TRUE,,,,4
1347,Mwani,TRUE,,,,4
1348,Ndebele,TRUE,,,,4
1349,Rundi (Kirundi),TRUE,,,,4
1350,Shona,TRUE,,,,4
1351,Soninke,TRUE,,,,4
1352,Sotho-Tswana languages,TRUE,,,,4
1353,Swahili,TRUE,,,,4
1354,Wojenaka,TRUE,,,,4
1355,Wolof,TRUE,,,,4
1356,Yoruba,TRUE,,,,4
1357,"Niger-Congo languages, n.i.e.",TRUE,,,,4
1358,Nilo-Saharan languages,TRUE,,,,3
1359,Dinka,TRUE,,,,4
1360,Nuer,TRUE,,,,4
1361,"Nilo-Saharan languages, n.i.e.",TRUE,,,,4
1362,"African, n.o.s.",TRUE,,,,4
1363,Sign languages,TRUE,,,,3
1364,American Sign Language,TRUE,,,,4
1365,Quebec Sign Language,TRUE,,,,4
1366,"Sign languages, n.i.e.",TRUE,,,,4
1367,Sino-Tibetan languages,TRUE,,,,3
1368,Chinese languages,TRUE,,,,4
1369,Hakka,TRUE,,,,5
1370,Mandarin,TRUE,,,,5
1371,Min Dong,TRUE,,,,5
1372,"Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",TRUE,,,,5
1373,Wu (Shanghainese),TRUE,,,,5
1374,Yue (Cantonese),TRUE,,,,5
1375,"Chinese, n.o.s.",TRUE,,,,5
1376,"Chinese languages, n.i.e.",TRUE,,,,5
1377,Tibeto-Burman languages,TRUE,,,,4
1378,Burmese,TRUE,,,,5
1379,Kuki-Chin languages,TRUE,,,,5
1380,Karenic languages,TRUE,,,,5
1381,S'gaw Karen,TRUE,,,,6
1382,"Karenic languages, n.i.e.",TRUE,,,,6
1383,Tibetan,TRUE,,,,5
1384,"Tibeto-Burman languages, n.i.e.",TRUE,,,,5
1385,"Sino-Tibetan languages, n.i.e.",TRUE,,,,4
1386,Tai-Kadai languages,TRUE,,,,3
1387,Lao,TRUE,,,,4
1388,Thai,TRUE,,,,4
1389,"Tai-Kadai languages, n.i.e.",TRUE,,,,4
1390,Turkic languages,TRUE,,,,3
1391,Azerbaijani,TRUE,,,,4
1392,Kazakh,TRUE,,,,4
1393,Turkish,TRUE,,,,4
1394,Uyghur,TRUE,,,,4
1395,Uzbek,TRUE,,,,4
1396,"Turkic languages, n.i.e.",TRUE,,,,4
1397,Uralic languages,TRUE,,,,3
1398,Estonian,TRUE,,,,4
1399,Finnish,TRUE,,,,4
1400,Hungarian,TRUE,,,,4
1401,"Other languages, n.i.e.",TRUE,,,,3
1402,Total - Indigenous identity for the population in private households - 25% sample data (44),FALSE,,,,0
1403,Indigenous identity (45),FALSE,,,,1
1404,Single Indigenous responses (46),FALSE,,,,2
1405,First Nations (North American Indian),FALSE,,,,3
1406,Métis,FALSE,,,,3
1407,Inuk (Inuit),FALSE,,,,3
1408,Multiple Indigenous responses (47),FALSE,,,,2
1409,Indigenous responses not included elsewhere (48),FALSE,,,,2
1410,Non-Indigenous identity,FALSE,,,,1
1411,Total - Registered or Treaty Indian status for the population in private households - 25% sample data (44),TRUE,,,,0
1412,Registered or Treaty Indian (49),TRUE,,,,1
1413,Not a Registered or Treaty Indian,TRUE,,,,1
1414,Total - Private households by tenure - 25% sample data (50),TRUE,,,,0
1415,Owner,TRUE,,,,1
1416,Renter,TRUE,,,,1
1417,"Dwelling provided by the local government, First Nation or Indian band",TRUE,,,,1
1418,Total - Occupied private dwellings by condominium status - 25% sample data (51),TRUE,,,,0
1419,Condominium,TRUE,,,,1
1420,Not condominium,TRUE,,,,1
1421,Total - Occupied private dwellings by number of bedrooms - 25% sample data (52),TRUE,,,,0
1422,No bedrooms,TRUE,,,,1
1423,1 bedroom,TRUE,,,,1
1424,2 bedrooms,TRUE,,,,1
1425,3 bedrooms,TRUE,,,,1
1426,4 or more bedrooms,TRUE,,,,1
1427,Total - Occupied private dwellings by number of rooms - 25% sample data (53),TRUE,,,,0
1428,1 to 4 rooms,TRUE,,,,1
1429,5 rooms,TRUE,,,,1
1430,6 rooms,TRUE,,,,1
1431,7 rooms,TRUE,,,,1
1432,8 or more rooms,TRUE,,,,1
1433,Average number of rooms per dwelling,TRUE,,,,0
1434,Total - Private households by number of persons per room - 25% sample data (54),TRUE,,,,0
1435,One person or fewer per room,TRUE,,,,1
1436,More than one person per room,TRUE,,,,1
1437,Total - Private households by housing suitability - 25% sample data (55),TRUE,,,,0
1438,Suitable,TRUE,,,,1
1439,Not suitable,TRUE,,,,1
1440,Total - Occupied private dwellings by period of construction - 25% sample data (56),TRUE,,,,0
1441,1960 or before,TRUE,,,,1
1442,1961 to 1980,TRUE,,,,1
1443,1981 to 1990,TRUE,,,,1
1444,1991 to 2000,TRUE,,,,1
1445,2001 to 2005,TRUE,,,,1
1446,2006 to 2010,TRUE,,,,1
1447,2011 to 2015,TRUE,,,,1
1448,2016 to 2021 (57),TRUE,,,,1
1449,Total - Occupied private dwellings by dwelling condition - 25% sample data (58),TRUE,,,,0
1450,Only regular maintenance and minor repairs needed,TRUE,,,,1
1451,Major repairs needed,TRUE,,,,1
1452,Total - Private households by number of household maintainers - 25% sample data (59),TRUE,,,,0
1453,One-maintainer household,TRUE,,,,1
1454,Two-maintainer household,TRUE,,,,1
1455,Three-or-more-maintainer household,TRUE,,,,1
1456,Total - Private households by age of primary household maintainers - 25% sample data (60),TRUE,,,,0
1457,15 to 24 years,TRUE,,,,1
1458,25 to 34 years,TRUE,,,,1
1459,35 to 44 years,TRUE,,,,1
1460,45 to 54 years,TRUE,,,,1
1461,55 to 64 years,TRUE,,,,1
1462,65 to 74 years,TRUE,,,,1
1463,75 to 84 years,TRUE,,,,1
1464,85 years and over,TRUE,,,,1
1465,"Total - Owner and tenant households with household total income greater than zero, in non-farm, non-reserve private dwellings by shelter-cost-to-income ratio - 25% sample data (61)",TRUE,,,,0
1466,Spending less than 30% of income on shelter costs,TRUE,,,,1
1467,Spending 30% or more of income on shelter costs,TRUE,,,,1
1468,30% to less than 100%,TRUE,,,,2
1469,Total - Occupied private dwellings by housing indicators - 25% sample data (62),TRUE,,,,0
1470,Total - Households 'spending 30% or more of income on shelter costs' or 'not suitable' or 'major repairs needed',TRUE,,,,1
1471,Spending 30% or more of income on shelter costs only,TRUE,,,,2
1472,Not suitable only,TRUE,,,,2
1473,Major repairs needed only,TRUE,,,,2
1474,'Spending 30% or more of income on shelter costs' and 'not suitable',TRUE,,,,2
1475,'Spending 30% or more of income on shelter costs' and 'major repairs needed',TRUE,,,,2
1476,'Not suitable' and 'major repairs needed',TRUE,,,,2
1477,'Spending 30% or more of income on shelter costs' and 'not suitable' and 'major repairs needed',TRUE,,,,2
1478,Acceptable housing,TRUE,,,,1
1479,"Total - Owner and tenant households with household total income greater than zero and shelter-cost-to-income ratio less than 100%, in non-farm, non-reserve private dwellings - 25% sample data (63)",TRUE,,,,0
1480,In core need,TRUE,,,,1
1481,Not in core need,TRUE,,,,1
1482,"Total - Owner households in non-farm, non-reserve private dwellings - 25% sample data",TRUE,,,,0
1483,% of owner households with a mortgage (64),TRUE,,,,1
1484,% of owner households spending 30% or more of its income on shelter costs (61),TRUE,,,,1
1485,% in core housing need (63),TRUE,,,,1
1486,Median monthly shelter costs for owned dwellings ($) (65),TRUE,,,,1
1487,Average monthly shelter costs for owned dwellings ($) (65),TRUE,,,,1
1488,Median value of dwellings ($) (66),TRUE,,,,1
1489,Average value of dwellings ($) (66),TRUE,,,,1
1490,"Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data",TRUE,,,,0
1491,% of tenant households in subsidized housing (67),TRUE,,,,1
1492,% of tenant households spending 30% or more of its income on shelter costs (61),TRUE,,,,1
1493,% in core housing need (63),TRUE,,,,1
1494,Median monthly shelter costs for rented dwellings ($) (65),TRUE,,,,1
1495,Average monthly shelter costs for rented dwellings ($) (65),TRUE,,,,1
1496,"Total - Households living in a dwelling provided by the local government, First Nation or Indian band in non-farm private dwellings - 25% sample data",TRUE,,,,0
1497,"% of households living in a dwelling provided by the local government, First Nation or Indian band spending more than 30% on shelter costs (61)",TRUE,,,,1
1498,"Median monthly shelter costs for dwellings provided by local government, First Nation or Indian band ($) (65)",TRUE,,,,1
1499,"Average monthly shelter costs for dwellings provided by local government, First Nation or Indian band ($) (65)",TRUE,,,,1
1500,Total - Indigenous ancestry for the population in private households - 25% sample data (68),FALSE,,,,0
1501,Indigenous ancestry (only) (69),FALSE,,,,1
1502,Single Indigenous ancestry (only) (70),FALSE,,,,2
1503,First Nations (North American Indian) single ancestry,TRUE,,,,3
1504,Métis single ancestry,TRUE,,,,3
1505,Inuit single ancestry,TRUE,,,,3
1506,Multiple Indigenous ancestries (only) (71),FALSE,,,,2
1507,First Nations (North American Indian) and Métis ancestry only,TRUE,,,,3
1508,First Nations (North American Indian) and Inuit ancestry only,TRUE,,,,3
1509,Métis and Inuit ancestry only,TRUE,,,,3
1510,First Nations (North American Indian) and Métis and Inuit ancestry only,TRUE,,,,3
1511,Indigenous and non-Indigenous ancestries (72),FALSE,,,,1
1512,Single Indigenous and non-Indigenous ancestries (73),FALSE,,,,2
1513,First Nations (North American Indian) and non-Indigenous ancestry only,TRUE,,,,3
1514,Métis and non-Indigenous ancestry only,TRUE,,,,3
1515,Inuit and non-Indigenous ancestry only,TRUE,,,,3
1516,Multiple Indigenous and non-Indigenous ancestries (74),FALSE,,,,2
1517,First Nations (North American Indian) and Métis and non-Indigenous ancestry only,TRUE,,,,3
1518,First Nations (North American Indian) and Inuit and non-Indigenous ancestry only,TRUE,,,,3
1519,Métis and Inuit and non-Indigenous ancestry only,TRUE,,,,3
1520,First Nations (North American Indian) and Métis and Inuit and non-Indigenous ancestry only,TRUE,,,,3
1521,Non-Indigenous ancestry only (75),FALSE,,,,1
1522,Total - Citizenship for the population in private households - 25% sample data (76),FALSE,,,,0
1523,Canadian citizens (77),FALSE,,,,1
1524,Canadian citizens aged under 18,TRUE,,,,2
1525,Canadian citizens aged 18 and over,TRUE,,,,2
1526,Not Canadian citizens (78),FALSE,,,,1
1527,Total - Immigrant status and period of immigration for the population in private households - 25% sample data (79),FALSE,,,,0
1528,Non-immigrants (80),FALSE,,da_immigrant_data,non_immigrants,1
1529,Immigrants (81),FALSE,,da_immigrant_data,immigrants,1
1530,Before 1980,FALSE,,da_immigrant_data,year_before_180,2
1531,1980 to 1990,FALSE,,da_immigrant_data,year_1980_to_1990,2
1532,1991 to 2000,FALSE,,da_immigrant_data,year_1991_to_2000,2
1533,2001 to 2010,FALSE,,da_immigrant_data,year_2001_to_2010,2
1534,2011 to 2021 (82),FALSE,,da_immigrant_data,year_2010_to_2021,2
1535,2011 to 2015,TRUE,,,,3
1536,2016 to 2021,TRUE,,,,3
1537,Non-permanent residents (83),FALSE,,da_immigrant_data,non_permanent,1
1538,Total - Age at immigration for the immigrant population in private households - 25% sample data (84),TRUE,,,,0
1539,Under 5 years,TRUE,,,,1
1540,5 to 14 years,TRUE,,,,1
1541,15 to 24 years,TRUE,,,,1
1542,25 to 44 years,TRUE,,,,1
1543,45 years and over,TRUE,,,,1
1544,Total - Place of birth for the immigrant population in private households - 25% sample data (85),FALSE,,,,0
1545,Americas,FALSE,,,,1
1546,Brazil,FALSE,,da_immigrant_birthplace_data,brazil,2
1547,Colombia,FALSE,,da_immigrant_birthplace_data,colombia,2
1548,El Salvador,FALSE,,da_immigrant_birthplace_data,el_salvador,2
1549,Guyana,FALSE,,da_immigrant_birthplace_data,guyana,2
1550,Haiti,FALSE,,da_immigrant_birthplace_data,haiti,2
1551,Jamaica,FALSE,,da_immigrant_birthplace_data,jamaica,2
1552,Mexico,FALSE,,da_immigrant_birthplace_data,mexico,2
1553,Peru,FALSE,,da_immigrant_birthplace_data,peru,2
1554,Trinidad and Tobago,FALSE,,da_immigrant_birthplace_data,trinidad_and_tobago,2
1555,United States of America,FALSE,,da_immigrant_birthplace_data,united_states,2
1556,Other places of birth in Americas,FALSE,,da_immigrant_birthplace_data,americas_other,2
1557,Europe,FALSE,,,,1
1558,Bosnia and Herzegovina,FALSE,,da_immigrant_birthplace_data,bosnia,2
1559,Croatia,FALSE,,da_immigrant_birthplace_data,croatia,2
1560,France,FALSE,,da_immigrant_birthplace_data,france,2
1561,Germany,FALSE,,da_immigrant_birthplace_data,germany,2
1562,Greece,FALSE,,da_immigrant_birthplace_data,greece,2
1563,Hungary,FALSE,,da_immigrant_birthplace_data,hungary,2
1564,Italy,FALSE,,da_immigrant_birthplace_data,italy,2
1565,Netherlands,FALSE,,da_immigrant_birthplace_data,netherlands,2
1566,Poland,FALSE,,da_immigrant_birthplace_data,poland,2
1567,Portugal,FALSE,,da_immigrant_birthplace_data,portugal,2
1568,Romania,FALSE,,da_immigrant_birthplace_data,romania,2
1569,Russian Federation,FALSE,,da_immigrant_birthplace_data,russia_federaion,2
1570,Serbia (86),FALSE,,da_immigrant_birthplace_data,serbia,2
1571,Ukraine,FALSE,,da_immigrant_birthplace_data,ukraine,2
1572,United Kingdom (87),FALSE,,da_immigrant_birthplace_data,united_kingdom,2
1573,Other places of birth in Europe,FALSE,,da_immigrant_birthplace_data,europe_other,2
1574,Africa,FALSE,,,,1
1575,Algeria,FALSE,,da_immigrant_birthplace_data,algeria,2
1576,"Congo, Democratic Republic of the",FALSE,,da_immigrant_birthplace_data,congo,2
1577,Egypt,FALSE,,da_immigrant_birthplace_data,egypt,2
1578,Eritrea,FALSE,,da_immigrant_birthplace_data,eritrea,2
1579,Ethiopia,FALSE,,da_immigrant_birthplace_data,ethioopia,2
1580,Morocco,FALSE,,da_immigrant_birthplace_data,morocco,2
1581,Nigeria,FALSE,,da_immigrant_birthplace_data,nigeria,2
1582,Somalia,FALSE,,da_immigrant_birthplace_data,somalia,2
1583,"South Africa, Republic of",FALSE,,da_immigrant_birthplace_data,south_africa,2
1584,Other places of birth in Africa,FALSE,,da_immigrant_birthplace_data,africa_other,2
1585,Asia,FALSE,,,,1
1586,Afghanistan,FALSE,,da_immigrant_birthplace_data,afghanistan,2
1587,Iran (88),FALSE,,da_immigrant_birthplace_data,iran,2
1588,Iraq,FALSE,,da_immigrant_birthplace_data,iraq,2
1589,Lebanon,FALSE,,da_immigrant_birthplace_data,lebanon,2
1590,Syria (89),FALSE,,da_immigrant_birthplace_data,syria,2
1591,Turkey,FALSE,,da_immigrant_birthplace_data,turkey,2
1592,China (90),FALSE,,da_immigrant_birthplace_data,china,2
1593,Hong Kong (91),FALSE,,da_immigrant_birthplace_data,hong_kong,2
1594,"Korea, South (92)",FALSE,,da_immigrant_birthplace_data,korea,2
1595,Taiwan,FALSE,,da_immigrant_birthplace_data,taiwan,2
1596,Philippines,FALSE,,da_immigrant_birthplace_data,phlippines,2
1597,Viet Nam,FALSE,,da_immigrant_birthplace_data,vietnam,2
1598,Bangladesh,FALSE,,da_immigrant_birthplace_data,bangladesh,2
1599,India,FALSE,,da_immigrant_birthplace_data,india,2
1600,Pakistan,FALSE,,da_immigrant_birthplace_data,pakistan,2
1601,Sri Lanka,FALSE,,da_immigrant_birthplace_data,sri_lanka,2
1602,Other places of birth in Asia,FALSE,,da_immigrant_birthplace_data,asia_other,2
1603,Oceania and other places of birth (93),FALSE,,da_immigrant_birthplace_data,oceania_other,1
1604,Total - Place of birth for the recent immigrant population in private households - 25% sample data (94),TRUE,,,,0
1605,Americas,TRUE,,,,1
1606,Brazil,TRUE,,,,2
1607,Colombia,TRUE,,,,2
1608,Haiti,TRUE,,,,2
1609,Jamaica,TRUE,,,,2
1610,Mexico,TRUE,,,,2
1611,United States of America,TRUE,,,,2
1612,Venezuela (95),TRUE,,,,2
1613,Other places of birth in Americas,TRUE,,,,2
1614,Europe,TRUE,,,,1
1615,France,TRUE,,,,2
1616,Germany,TRUE,,,,2
1617,Ireland (96),TRUE,,,,2
1618,Italy,TRUE,,,,2
1619,Russian Federation,TRUE,,,,2
1620,Ukraine,TRUE,,,,2
1621,United Kingdom (87),TRUE,,,,2
1622,Other places of birth in Europe,TRUE,,,,2
1623,Africa,TRUE,,,,1
1624,Algeria,TRUE,,,,2
1625,Burundi,TRUE,,,,2
1626,Cameroon,TRUE,,,,2
1627,"Congo, Democratic Republic of the",TRUE,,,,2
1628,Côte d'Ivoire,TRUE,,,,2
1629,Egypt,TRUE,,,,2
1630,Eritrea,TRUE,,,,2
1631,Ethiopia,TRUE,,,,2
1632,Morocco,TRUE,,,,2
1633,Nigeria,TRUE,,,,2
1634,Somalia,TRUE,,,,2
1635,"South Africa, Republic of",TRUE,,,,2
1636,Sudan (97),TRUE,,,,2
1637,Tunisia,TRUE,,,,2
1638,Other places of birth in Africa,TRUE,,,,2
1639,Asia,TRUE,,,,1
1640,Afghanistan,TRUE,,,,2
1641,Bangladesh,TRUE,,,,2
1642,China (90),TRUE,,,,2
1643,Hong Kong (91),TRUE,,,,2
1644,India,TRUE,,,,2
1645,Iran (88),TRUE,,,,2
1646,Iraq,TRUE,,,,2
1647,Israel,TRUE,,,,2
1648,Japan,TRUE,,,,2
1649,Jordan,TRUE,,,,2
1650,"Korea, South (92)",TRUE,,,,2
1651,Lebanon,TRUE,,,,2
1652,Nepal,TRUE,,,,2
1653,Pakistan,TRUE,,,,2
1654,Philippines,TRUE,,,,2
1655,Saudi Arabia,TRUE,,,,2
1656,Sri Lanka,TRUE,,,,2
1657,Syria (89),TRUE,,,,2
1658,Turkey,TRUE,,,,2
1659,United Arab Emirates,TRUE,,,,2
1660,Viet Nam,TRUE,,,,2
1661,Other places of birth in Asia,TRUE,,,,2
1662,Oceania and other (93),TRUE,,,,1
1663,Australia,TRUE,,,,2
1664,Other places of birth (98),TRUE,,,,2
1665,Total - Generation status for the population in private households - 25% sample data (99),FALSE,,,,0
1666,First generation (100),FALSE,,da_immigrant_data,first_generation,1
1667,Second generation (101),FALSE,,da_immigrant_data,second_generation,1
1668,Third generation or more (102),FALSE,,da_immigrant_data,third_generation_or_more,1
1669,Total - Admission category and applicant type for the immigrant population in private households who were admitted between 1980 and 2021 - 25% sample data (103),TRUE,,,,0
1670,Economic immigrants (104),TRUE,,,,1
1671,Principal applicants (105),TRUE,,,,2
1672,Secondary applicants (106),TRUE,,,,2
1673,Immigrants sponsored by family (107),TRUE,,,,1
1674,Refugees (108),TRUE,,,,1
1675,Other immigrants (109),TRUE,,,,1
1676,Total - Pre-admission experience for the immigrant population in private households who were admitted between 1980 and 2021 - 25% sample data (110),TRUE,,,,0
1677,Asylum claim before admission (111),TRUE,,,,1
1678,Work permits only before admission (112),TRUE,,,,1
1679,Study permits only before admission (113),TRUE,,,,1
1680,Work and study permits before admission (114),TRUE,,,,1
1681,Other permits before admission (115),TRUE,,,,1
1682,No pre-admission experience (116),TRUE,,,,1
1683,Total - Visible minority for the population in private households - 25% sample data (117),FALSE,,,,0
1684,Total visible minority population (118),FALSE,,,,1
1685,South Asian,FALSE,,da_visible_minority,south_asian,2
1686,Chinese,FALSE,,da_visible_minority,chinese,2
1687,Black,FALSE,,da_visible_minority,black,2
1688,Filipino,FALSE,,da_visible_minority,filipino,2
1689,Arab,FALSE,,da_visible_minority,arab,2
1690,Latin American,FALSE,,da_visible_minority,latin_american,2
1691,Southeast Asian,FALSE,,da_visible_minority,southeast_asian,2
1692,West Asian,FALSE,,da_visible_minority,west_asian,2
1693,Korean,FALSE,,da_visible_minority,korean,2
1694,Japanese,FALSE,,da_visible_minority,japanese,2
1695,"Visible minority, n.i.e. (119)",FALSE,,da_visible_minority,other,2
1696,Multiple visible minorities,FALSE,,da_visible_minority,multiple,2
1697,Not a visible minority (120),FALSE,,da_visible_minority,not_applicable,1
